<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.03	02:00:00	1.05007	1.05014	1.04952	1.04958	1065	0	2
2024.12.03	02:15:00	1.04958	1.04959	1.04892	1.04893	1012	0	2
2024.12.03	02:30:00	1.04893	1.04932	1.04886	1.04918	826	0	2
2024.12.03	02:45:00	1.04918	1.04939	1.04909	1.04910	932	0	2
2024.12.03	03:00:00	1.04910	1.04971	1.04910	1.04966	1028	0	2
2024.12.03	03:15:00	1.04966	1.04970	1.04867	1.04867	1248	0	2
2024.12.03	03:30:00	1.04867	1.04949	1.04854	1.04944	1598	0	2
2024.12.03	03:45:00	1.04944	1.04947	1.04841	1.04878	1638	0	3
2024.12.03	04:00:00	1.04878	1.04898	1.04849	1.04885	1244	0	2
2024.12.03	04:15:00	1.04885	1.04891	1.04822	1.04843	1070	0	2
2024.12.03	04:30:00	1.04843	1.04915	1.04838	1.04897	1068	0	2
2024.12.03	04:45:00	1.04897	1.04922	1.04890	1.04893	793	0	2
2024.12.03	05:00:00	1.04893	1.04899	1.04868	1.04891	811	0	2
2024.12.03	05:15:00	1.04891	1.04911	1.04877	1.04882	770	0	2
2024.12.03	05:30:00	1.04883	1.04945	1.04883	1.04922	895	0	2
2024.12.03	05:45:00	1.04922	1.04934	1.04893	1.04904	717	0	2
2024.12.03	06:00:00	1.04904	1.04914	1.04888	1.04890	784	0	2
2024.12.03	06:15:00	1.04890	1.04896	1.04848	1.04872	557	0	2
2024.12.03	06:30:00	1.04872	1.04875	1.04847	1.04855	630	0	2
2024.12.03	06:45:00	1.04855	1.04869	1.04843	1.04854	580	0	2
2024.12.03	07:00:00	1.04854	1.04858	1.04806	1.04826	677	0	2
2024.12.03	07:15:00	1.04826	1.04868	1.04826	1.04865	561	0	2
2024.12.03	07:30:00	1.04865	1.04906	1.04861	1.04882	647	0	2
2024.12.03	07:45:00	1.04882	1.04924	1.04877	1.04914	624	0	2
2024.12.03	08:00:00	1.04915	1.04947	1.04877	1.04884	879	0	2
2024.12.03	08:15:00	1.04884	1.04898	1.04849	1.04871	698	0	2
2024.12.03	08:30:00	1.04871	1.04916	1.04858	1.04868	791	0	2
2024.12.03	08:45:00	1.04868	1.04909	1.04833	1.04878	1083	0	2
2024.12.03	09:00:00	1.04878	1.04955	1.04862	1.04951	1496	0	2
2024.12.03	09:15:00	1.04951	1.05032	1.04937	1.05028	1096	0	2
2024.12.03	09:30:00	1.05029	1.05115	1.04996	1.05024	1826	0	2
2024.12.03	09:45:00	1.05024	1.05074	1.04969	1.04982	1603	0	2
2024.12.03	10:00:00	1.04977	1.05090	1.04972	1.05064	2750	0	2
2024.12.03	10:15:00	1.05064	1.05161	1.05063	1.05145	1874	0	2
2024.12.03	10:30:00	1.05145	1.05279	1.05144	1.05263	2536	0	2
2024.12.03	10:45:00	1.05264	1.05270	1.05215	1.05254	2107	0	2
2024.12.03	11:00:00	1.05254	1.05304	1.05230	1.05294	1901	0	2
2024.12.03	11:15:00	1.05294	1.05308	1.05176	1.05196	2291	0	2
2024.12.03	11:30:00	1.05195	1.05221	1.05163	1.05184	1588	0	2
2024.12.03	11:45:00	1.05185	1.05220	1.05164	1.05204	1506	0	2
2024.12.03	12:00:00	1.05204	1.05260	1.05174	1.05252	1649	0	2
2024.12.03	12:15:00	1.05252	1.05274	1.05236	1.05257	1022	0	2
2024.12.03	12:30:00	1.05258	1.05298	1.05244	1.05253	974	0	2
2024.12.03	12:45:00	1.05253	1.05254	1.05120	1.05147	1509	0	2
2024.12.03	13:00:00	1.05147	1.05206	1.05138	1.05181	1062	0	2
2024.12.03	13:15:00	1.05181	1.05257	1.05168	1.05217	1337	0	2
2024.12.03	13:30:00	1.05217	1.05239	1.05178	1.05213	1464	0	2
2024.12.03	13:45:00	1.05214	1.05276	1.05177	1.05226	1297	0	2
2024.12.03	14:00:00	1.05226	1.05244	1.05178	1.05199	1584	0	2
2024.12.03	14:15:00	1.05199	1.05199	1.05096	1.05102	1526	0	2
2024.12.03	14:30:00	1.05102	1.05150	1.05084	1.05134	1265	0	2
2024.12.03	14:45:00	1.05134	1.05191	1.05069	1.05076	1489	0	2
2024.12.03	15:00:00	1.05076	1.05152	1.05062	1.05149	1905	0	2
2024.12.03	15:15:00	1.05149	1.05150	1.05112	1.05144	1565	0	2
2024.12.03	15:30:00	1.05144	1.05192	1.05144	1.05185	1478	0	2
2024.12.03	15:45:00	1.05185	1.05269	1.05182	1.05239	2194	0	2
2024.12.03	16:00:00	1.05240	1.05265	1.05192	1.05255	2548	0	2
2024.12.03	16:15:00	1.05255	1.05292	1.05220	1.05271	2293	0	2
2024.12.03	16:30:00	1.05271	1.05288	1.05193	1.05209	2745	0	2
2024.12.03	16:45:00	1.05209	1.05251	1.05170	1.05195	2239	0	2
2024.12.03	17:00:00	1.05195	1.05196	1.05020	1.05022	4035	0	2
2024.12.03	17:15:00	1.05022	1.05051	1.04923	1.04939	2956	0	2
2024.12.03	17:30:00	1.04939	1.05087	1.04920	1.05086	3091	0	2
