index,time,score,orderblock,fvg,liquidity_sweep,bos,volume_cluster
294,2024-12-05 01:30:00,2,True,False,False,True,False
295,2024-12-05 01:45:00,1,True,False,False,False,False
296,2024-12-05 02:00:00,1,True,False,False,False,False
297,2024-12-05 02:15:00,1,True,False,False,False,False
298,2024-12-05 02:30:00,2,True,False,False,True,False
299,2024-12-05 02:45:00,2,True,False,False,False,True
300,2024-12-05 03:00:00,2,True,False,False,False,True
301,2024-12-05 03:15:00,2,True,False,False,False,True
302,2024-12-05 03:30:00,2,True,False,False,False,True
303,2024-12-05 03:45:00,3,True,False,True,False,True
304,2024-12-05 04:00:00,2,True,False,False,False,True
305,2024-12-05 04:15:00,3,True,False,False,True,True
306,2024-12-05 04:30:00,3,True,False,False,True,True
307,2024-12-05 04:45:00,2,True,False,False,False,True
308,2024-12-05 05:00:00,3,True,False,False,True,True
309,2024-12-05 05:15:00,2,True,False,False,False,True
310,2024-12-05 05:30:00,1,True,False,False,False,False
311,2024-12-05 05:45:00,2,True,False,False,True,False
312,2024-12-05 06:00:00,2,True,False,False,True,False
313,2024-12-05 06:15:00,2,True,False,False,True,False
314,2024-12-05 06:30:00,1,True,False,False,False,False
315,2024-12-05 06:45:00,1,True,False,False,False,False
316,2024-12-05 07:00:00,1,True,False,False,False,False
317,2024-12-05 07:15:00,2,True,False,False,True,False
318,2024-12-05 07:30:00,2,True,False,False,True,False
319,2024-12-05 07:45:00,2,True,False,False,True,False
320,2024-12-05 08:00:00,3,True,False,False,True,True
321,2024-12-05 08:15:00,2,True,False,False,False,True
322,2024-12-05 08:30:00,2,True,False,False,False,True
323,2024-12-05 08:45:00,2,True,False,False,False,True
324,2024-12-05 09:00:00,3,True,False,False,True,True
325,2024-12-05 09:15:00,2,True,False,False,False,True
326,2024-12-05 09:30:00,2,True,False,False,False,True
327,2024-12-05 09:45:00,2,True,False,False,False,True
328,2024-12-05 10:00:00,3,True,False,False,True,True
329,2024-12-05 10:15:00,3,True,False,False,True,True
330,2024-12-05 10:30:00,2,True,False,False,False,True
331,2024-12-05 10:45:00,2,True,False,False,False,True
332,2024-12-05 11:00:00,3,True,False,True,False,True
333,2024-12-05 11:15:00,3,True,False,True,False,True
334,2024-12-05 11:30:00,2,True,False,False,False,True
335,2024-12-05 11:45:00,2,True,False,False,False,True
336,2024-12-05 12:00:00,2,True,False,False,False,True
337,2024-12-05 12:15:00,3,True,False,False,True,True
338,2024-12-05 12:30:00,2,True,False,False,False,True
339,2024-12-05 12:45:00,2,True,False,False,False,True
340,2024-12-05 13:00:00,3,True,False,True,False,True
341,2024-12-05 13:15:00,2,True,False,True,False,False
342,2024-12-05 13:30:00,2,True,False,False,True,False
343,2024-12-05 13:45:00,2,True,False,False,True,False
344,2024-12-05 14:00:00,2,True,False,False,True,False
345,2024-12-05 14:15:00,1,True,False,False,False,False
346,2024-12-05 14:30:00,2,True,False,False,True,False
347,2024-12-05 14:45:00,1,True,False,False,False,False
348,2024-12-05 15:00:00,3,True,False,False,True,True
349,2024-12-05 15:15:00,3,True,False,False,True,True
350,2024-12-05 15:30:00,3,True,False,False,True,True
351,2024-12-05 15:45:00,2,True,False,False,False,True
352,2024-12-05 16:00:00,3,True,False,False,True,True
353,2024-12-05 16:15:00,3,True,False,False,True,True
354,2024-12-05 16:30:00,3,True,False,False,True,True
355,2024-12-05 16:45:00,2,True,False,False,False,True
356,2024-12-05 17:00:00,2,True,False,False,False,True
357,2024-12-05 17:15:00,3,True,False,True,False,True
358,2024-12-05 17:30:00,3,True,False,True,False,True
359,2024-12-05 17:45:00,2,True,False,False,False,True
360,2024-12-05 18:00:00,3,True,False,False,True,True
361,2024-12-05 18:15:00,2,True,False,False,False,True
362,2024-12-05 18:30:00,1,True,False,False,False,False
363,2024-12-05 18:45:00,1,True,False,False,False,False
364,2024-12-05 19:00:00,2,True,False,False,True,False
365,2024-12-05 19:15:00,2,True,False,True,False,False
366,2024-12-05 19:30:00,2,True,False,True,False,False
367,2024-12-05 19:45:00,1,True,False,False,False,False
368,2024-12-05 20:00:00,1,True,False,False,False,False
369,2024-12-05 20:15:00,2,True,False,True,False,False
370,2024-12-05 20:30:00,1,True,False,False,False,False
371,2024-12-05 20:45:00,1,True,False,False,False,False
372,2024-12-05 21:00:00,2,True,False,False,True,False
373,2024-12-05 21:15:00,2,True,False,False,True,False
374,2024-12-05 21:30:00,2,True,False,False,True,False
375,2024-12-05 21:45:00,2,True,False,False,True,False
376,2024-12-05 22:00:00,1,True,False,False,False,False
377,2024-12-05 22:15:00,1,True,False,False,False,False
378,2024-12-05 22:30:00,1,True,False,False,False,False
379,2024-12-05 22:45:00,1,True,False,False,False,False
380,2024-12-05 23:00:00,1,True,False,False,False,False
381,2024-12-05 23:15:00,1,True,False,False,False,False
382,2024-12-05 23:30:00,2,True,False,False,True,False
383,2024-12-05 23:45:00,1,True,False,False,False,False
384,2024-12-06 00:00:00,1,True,False,False,False,False
385,2024-12-06 00:15:00,1,True,False,False,False,False
386,2024-12-06 00:30:00,1,True,False,False,False,False
387,2024-12-06 00:45:00,1,True,False,False,False,False
388,2024-12-06 01:00:00,2,True,False,False,True,False
389,2024-12-06 01:15:00,1,True,False,False,False,False
390,2024-12-06 01:30:00,2,True,False,True,False,False
391,2024-12-06 01:45:00,1,True,False,False,False,False
392,2024-12-06 02:00:00,2,True,False,True,False,False
393,2024-12-06 02:15:00,3,True,False,True,False,True
394,2024-12-06 02:30:00,2,True,False,False,False,True
395,2024-12-06 02:45:00,3,True,False,True,False,True
396,2024-12-06 03:00:00,3,True,False,True,False,True
397,2024-12-06 03:15:00,3,True,False,True,False,True
398,2024-12-06 03:30:00,3,True,False,True,False,True
399,2024-12-06 03:45:00,3,True,False,True,False,True
400,2024-12-06 04:00:00,2,True,False,False,False,True
401,2024-12-06 04:15:00,3,True,False,False,True,True
402,2024-12-06 04:30:00,3,True,False,False,True,True
403,2024-12-06 04:45:00,2,True,False,False,False,True
404,2024-12-06 05:00:00,3,True,False,False,True,True
405,2024-12-06 05:15:00,2,True,False,False,False,True
406,2024-12-06 05:30:00,2,True,False,False,False,True
407,2024-12-06 05:45:00,2,True,False,False,False,True
408,2024-12-06 06:00:00,1,True,False,False,False,False
409,2024-12-06 06:15:00,1,True,False,False,False,False
410,2024-12-06 06:30:00,2,True,False,True,False,False
411,2024-12-06 06:45:00,1,True,False,False,False,False
412,2024-12-06 07:00:00,2,True,False,True,False,False
413,2024-12-06 07:15:00,1,True,False,False,False,False
414,2024-12-06 07:30:00,1,True,False,False,False,False
415,2024-12-06 07:45:00,1,True,False,False,False,False
416,2024-12-06 08:00:00,1,True,False,False,False,False
417,2024-12-06 08:15:00,2,True,False,False,True,False
418,2024-12-06 08:30:00,1,True,False,False,False,False
419,2024-12-06 08:45:00,1,True,False,False,False,False
420,2024-12-06 09:00:00,3,True,False,True,False,True
421,2024-12-06 09:15:00,2,True,False,False,False,True
422,2024-12-06 09:30:00,2,True,False,False,False,True
423,2024-12-06 09:45:00,3,True,False,False,True,True
424,2024-12-06 10:00:00,3,True,False,False,True,True
425,2024-12-06 10:15:00,2,True,False,False,False,True
426,2024-12-06 10:30:00,2,True,False,False,False,True
427,2024-12-06 10:45:00,2,True,False,False,False,True
428,2024-12-06 11:00:00,2,True,False,False,False,True
429,2024-12-06 11:15:00,2,True,False,False,False,True
430,2024-12-06 11:30:00,3,True,False,True,False,True
431,2024-12-06 11:45:00,2,True,False,False,False,True
432,2024-12-06 12:00:00,2,True,False,False,False,True
433,2024-12-06 12:15:00,2,True,False,False,False,True
434,2024-12-06 12:30:00,3,True,False,False,True,True
435,2024-12-06 12:45:00,2,True,False,False,True,False
436,2024-12-06 13:00:00,2,True,False,False,True,False
437,2024-12-06 13:15:00,1,True,False,False,False,False
438,2024-12-06 13:30:00,1,True,False,False,False,False
439,2024-12-06 13:45:00,2,True,False,False,True,False
440,2024-12-06 14:00:00,1,True,False,False,False,False
441,2024-12-06 14:15:00,1,True,False,False,False,False
442,2024-12-06 14:30:00,1,True,False,False,False,False
443,2024-12-06 14:45:00,1,True,False,False,False,False
444,2024-12-06 15:00:00,3,True,False,True,False,True
445,2024-12-06 15:15:00,3,True,False,False,True,True
446,2024-12-06 15:30:00,3,True,False,False,True,True
447,2024-12-06 15:45:00,2,True,False,False,False,True
448,2024-12-06 16:00:00,3,True,False,True,False,True
449,2024-12-06 16:15:00,2,True,False,False,False,True
450,2024-12-06 16:30:00,2,True,False,False,False,True
451,2024-12-06 16:45:00,2,True,False,False,False,True
452,2024-12-06 17:00:00,3,True,False,True,False,True
453,2024-12-06 17:15:00,3,True,False,True,False,True
454,2024-12-06 17:30:00,3,True,False,True,False,True
455,2024-12-06 17:45:00,2,True,False,False,False,True
456,2024-12-06 18:00:00,1,True,False,False,False,False
457,2024-12-06 18:15:00,2,True,False,False,True,False
458,2024-12-06 18:30:00,2,True,False,False,True,False
459,2024-12-06 18:45:00,1,True,False,False,False,False
460,2024-12-06 19:00:00,1,True,False,False,False,False
461,2024-12-06 19:15:00,2,True,False,True,False,False
462,2024-12-06 19:30:00,1,True,False,False,False,False
463,2024-12-06 19:45:00,1,True,False,False,False,False
464,2024-12-06 20:00:00,1,True,False,False,False,False
465,2024-12-06 20:15:00,1,True,False,False,False,False
466,2024-12-06 20:30:00,1,True,False,False,False,False
467,2024-12-06 20:45:00,2,True,False,True,False,False
468,2024-12-06 21:00:00,2,True,False,True,False,False
469,2024-12-06 21:15:00,1,True,False,False,False,False
470,2024-12-06 21:30:00,1,True,False,False,False,False
471,2024-12-06 21:45:00,2,True,False,False,True,False
472,2024-12-06 22:00:00,2,True,False,False,True,False
473,2024-12-06 22:15:00,2,True,False,False,True,False
474,2024-12-06 22:30:00,2,True,False,False,True,False
475,2024-12-06 22:45:00,2,True,False,False,True,False
476,2024-12-06 23:00:00,2,True,False,False,True,False
477,2024-12-06 23:15:00,2,True,False,False,True,False
478,2024-12-06 23:30:00,2,True,False,False,True,False
479,2024-12-06 23:45:00,2,True,False,False,True,False
480,2024-12-09 00:00:00,2,True,False,True,False,False
481,2024-12-09 00:15:00,1,True,False,False,False,False
482,2024-12-09 00:30:00,1,True,False,False,False,False
483,2024-12-09 00:45:00,2,True,False,False,True,False
484,2024-12-09 01:00:00,2,True,False,False,True,False
485,2024-12-09 01:15:00,1,True,False,False,False,False
486,2024-12-09 01:30:00,1,True,False,False,False,False
487,2024-12-09 01:45:00,1,True,False,False,False,False
488,2024-12-09 02:00:00,3,True,False,True,False,True
489,2024-12-09 02:15:00,2,True,False,False,False,True
490,2024-12-09 02:30:00,3,True,False,True,False,True
491,2024-12-09 02:45:00,2,True,False,False,False,True
492,2024-12-09 03:00:00,3,True,False,True,False,True
493,2024-12-09 03:15:00,3,True,False,True,False,True
494,2024-12-09 03:30:00,3,True,False,True,False,True
495,2024-12-09 03:45:00,3,True,False,True,False,True
496,2024-12-09 04:00:00,2,True,False,False,False,True
497,2024-12-09 04:15:00,2,True,False,False,False,True
498,2024-12-09 04:30:00,3,True,False,True,False,True
